S,Masker,Talker,WordType,Amplitude
7002,Scrambled,Different,Color,0.616338066847397
7002,Scrambled,Different,Object,1.36644631134898
7002,Scrambled,Same,Color,0.191212997032091
7002,Scrambled,Same,Object,0.437128261687175
7002,Unscrambled,Different,Color,0.490264573556173
7002,Unscrambled,Different,Object,0.814599487775458
7002,Unscrambled,Same,Color,-0.0221090981824966
7002,Unscrambled,Same,Object,0.717907481550567
7023,Scrambled,Different,Color,-1.68775339711851
7023,Scrambled,Different,Object,-0.688037029557448
7023,Scrambled,Same,Color,-0.71233252205175
7023,Scrambled,Same,Object,-0.0141791704524554
7023,Unscrambled,Different,Color,-0.687729219090685
7023,Unscrambled,Different,Object,1.94520294732264
7023,Unscrambled,Same,Color,-0.024687701546845
7023,Unscrambled,Same,Object,0.358561448385573
7024,Scrambled,Different,Color,-5.5498345598252
7024,Scrambled,Different,Object,-3.11480538734927
7024,Scrambled,Same,Color,-4.84540483643142
7024,Scrambled,Same,Object,-2.82919982040159
7024,Unscrambled,Different,Color,-3.74965244492054
7024,Unscrambled,Different,Object,-1.5274528976378
7024,Unscrambled,Same,Color,-3.00520399580824
7024,Unscrambled,Same,Object,-1.60423867865227
7033,Scrambled,Different,Color,-1.37340078839252
7033,Scrambled,Different,Object,-0.680679353611773
7033,Scrambled,Same,Color,-0.874213641917763
7033,Scrambled,Same,Object,-0.89058498054912
7033,Unscrambled,Different,Color,-0.89897812715078
7033,Unscrambled,Different,Object,-0.105554194849166
7033,Unscrambled,Same,Color,-0.00510479809690179
7033,Unscrambled,Same,Object,0.471012419734253
7035,Scrambled,Different,Color,-3.18687537413876
7035,Scrambled,Different,Object,-2.22366113025751
7035,Scrambled,Same,Color,-3.7927999029573
7035,Scrambled,Same,Object,-1.43610204271975
7035,Unscrambled,Different,Color,-2.37068912059943
7035,Unscrambled,Different,Object,-0.806082836929267
7035,Unscrambled,Same,Color,-0.603559943253546
7035,Unscrambled,Same,Object,-0.3199742750118
7036,Scrambled,Different,Color,-2.13080268405455
7036,Scrambled,Different,Object,0.0297572286036818
7036,Scrambled,Same,Color,-2.87109178510882
7036,Scrambled,Same,Object,-0.765568246990135
7036,Unscrambled,Different,Color,-1.91561479314601
7036,Unscrambled,Different,Object,-0.44967017366588
7036,Unscrambled,Same,Color,-0.520375940646265
7036,Unscrambled,Same,Object,0.186453803113218
7038,Scrambled,Different,Color,-2.31270570239393
7038,Scrambled,Different,Object,0.0908634374609087
7038,Scrambled,Same,Color,-1.74584162608821
7038,Scrambled,Same,Object,-0.971483859913336
7038,Unscrambled,Different,Color,-0.328030491811211
7038,Unscrambled,Different,Object,0.600433500161214
7038,Unscrambled,Same,Color,0.0252135431689946
7038,Unscrambled,Same,Object,0.484136324775412
7039,Scrambled,Different,Color,-5.21781152639339
7039,Scrambled,Different,Object,-3.20606903802592
7039,Scrambled,Same,Color,-4.92364323383127
7039,Scrambled,Same,Object,-3.10187485134118
7039,Unscrambled,Different,Color,-3.05609125816678
7039,Unscrambled,Different,Object,-2.87530009621964
