S,Masker,Talker,WordType,Amplitude,Electrode
7056,Scrambled,Different,Color,-3.74140713579013,Fp1
7056,Scrambled,Different,Object,-0.925142791177869,Fp1
7056,Scrambled,Same,Color,-3.51393849914423,Fp1
7056,Scrambled,Same,Object,-1.4870170800466,Fp1
7056,Unscrambled,Different,Color,-1.24203000505726,Fp1
7056,Unscrambled,Different,Object,0.246897657177974,Fp1
7056,Unscrambled,Same,Color,-0.777260309337768,Fp1
7056,Unscrambled,Same,Object,-0.697140994973465,Fp1
7056,Scrambled,Different,Color,-3.74140713579013,AF3
7056,Scrambled,Different,Object,-0.925142791177869,AF3
7056,Scrambled,Same,Color,-3.51393849914423,AF3
7056,Scrambled,Same,Object,-1.4870170800466,AF3
7056,Unscrambled,Different,Color,-1.24203000505726,AF3
7056,Unscrambled,Different,Object,0.246897657177974,AF3
7056,Unscrambled,Same,Color,-0.777260309337768,AF3
7056,Unscrambled,Same,Object,-0.697140994973465,AF3
7056,Scrambled,Different,Color,-3.74140713579013,F7
7056,Scrambled,Different,Object,-0.925142791177869,F7
7056,Scrambled,Same,Color,-3.51393849914423,F7
7056,Scrambled,Same,Object,-1.4870170800466,F7
7056,Unscrambled,Different,Color,-1.24203000505726,F7
7056,Unscrambled,Different,Object,0.246897657177974,F7
7056,Unscrambled,Same,Color,-0.777260309337768,F7
7056,Unscrambled,Same,Object,-0.697140994973465,F7
7056,Scrambled,Different,Color,-3.74140713579013,F3
7056,Scrambled,Different,Object,-0.925142791177869,F3
7056,Scrambled,Same,Color,-3.51393849914423,F3
7056,Scrambled,Same,Object,-1.4870170800466,F3
7056,Unscrambled,Different,Color,-1.24203000505726,F3
7056,Unscrambled,Different,Object,0.246897657177974,F3
7056,Unscrambled,Same,Color,-0.777260309337768,F3
7056,Unscrambled,Same,Object,-0.697140994973465,F3
7056,Scrambled,Different,Color,-3.74140713579013,FC1
7056,Scrambled,Different,Object,-0.925142791177869,FC1
7056,Scrambled,Same,Color,-3.51393849914423,FC1
7056,Scrambled,Same,Object,-1.4870170800466,FC1
7056,Unscrambled,Different,Color,-1.24203000505726,FC1
7056,Unscrambled,Different,Object,0.246897657177974,FC1
7056,Unscrambled,Same,Color,-0.777260309337768,FC1
7056,Unscrambled,Same,Object,-0.697140994973465,FC1
7056,Scrambled,Different,Color,-3.74140713579013,FC5
7056,Scrambled,Different,Object,-0.925142791177869,FC5
7056,Scrambled,Same,Color,-3.51393849914423,FC5
7056,Scrambled,Same,Object,-1.4870170800466,FC5
7056,Unscrambled,Different,Color,-1.24203000505726,FC5
7056,Unscrambled,Different,Object,0.246897657177974,FC5
7056,Unscrambled,Same,Color,-0.777260309337768,FC5
7056,Unscrambled,Same,Object,-0.697140994973465,FC5
7056,Scrambled,Different,Color,-3.74140713579013,T7
7056,Scrambled,Different,Object,-0.925142791177869,T7
7056,Scrambled,Same,Color,-3.51393849914423,T7
7056,Scrambled,Same,Object,-1.4870170800466,T7
7056,Unscrambled,Different,Color,-1.24203000505726,T7
7056,Unscrambled,Different,Object,0.246897657177974,T7
7056,Unscrambled,Same,Color,-0.777260309337768,T7
7056,Unscrambled,Same,Object,-0.697140994973465,T7
7056,Scrambled,Different,Color,-3.74140713579013,C3
7056,Scrambled,Different,Object,-0.925142791177869,C3
7056,Scrambled,Same,Color,-3.51393849914423,C3
7056,Scrambled,Same,Object,-1.4870170800466,C3
7056,Unscrambled,Different,Color,-1.24203000505726,C3
7056,Unscrambled,Different,Object,0.246897657177974,C3
7056,Unscrambled,Same,Color,-0.777260309337768,C3
7056,Unscrambled,Same,Object,-0.697140994973465,C3
7056,Scrambled,Different,Color,-3.74140713579013,CP1
7056,Scrambled,Different,Object,-0.925142791177869,CP1
7056,Scrambled,Same,Color,-3.51393849914423,CP1
7056,Scrambled,Same,Object,-1.4870170800466,CP1
7056,Unscrambled,Different,Color,-1.24203000505726,CP1
7056,Unscrambled,Different,Object,0.246897657177974,CP1
7056,Unscrambled,Same,Color,-0.777260309337768,CP1
7056,Unscrambled,Same,Object,-0.697140994973465,CP1
7056,Scrambled,Different,Color,-3.74140713579013,CP5
