S,Masker,Talker,WordType,Amplitude,Electrode
7002,Scrambled,Different,Color,0.370469001747295,Fp1
7002,Scrambled,Different,Object,1.58606967654996,Fp1
7002,Scrambled,Same,Color,0.235802836401749,Fp1
7002,Scrambled,Same,Object,0.386776322658214,Fp1
7002,Unscrambled,Different,Color,0.423670734246191,Fp1
7002,Unscrambled,Different,Object,1.435863573466,Fp1
7002,Unscrambled,Same,Color,0.315221416204536,Fp1
7002,Unscrambled,Same,Object,1.08535561377793,Fp1
7002,Scrambled,Different,Color,0.370469001747295,AF3
7002,Scrambled,Different,Object,1.58606967654996,AF3
7002,Scrambled,Same,Color,0.235802836401749,AF3
7002,Scrambled,Same,Object,0.386776322658214,AF3
7002,Unscrambled,Different,Color,0.423670734246191,AF3
7002,Unscrambled,Different,Object,1.435863573466,AF3
7002,Unscrambled,Same,Color,0.315221416204536,AF3
7002,Unscrambled,Same,Object,1.08535561377793,AF3
7002,Scrambled,Different,Color,0.370469001747295,F7
7002,Scrambled,Different,Object,1.58606967654996,F7
7002,Scrambled,Same,Color,0.235802836401749,F7
7002,Scrambled,Same,Object,0.386776322658214,F7
7002,Unscrambled,Different,Color,0.423670734246191,F7
7002,Unscrambled,Different,Object,1.435863573466,F7
7002,Unscrambled,Same,Color,0.315221416204536,F7
7002,Unscrambled,Same,Object,1.08535561377793,F7
7002,Scrambled,Different,Color,0.370469001747295,F3
7002,Scrambled,Different,Object,1.58606967654996,F3
7002,Scrambled,Same,Color,0.235802836401749,F3
7002,Scrambled,Same,Object,0.386776322658214,F3
7002,Unscrambled,Different,Color,0.423670734246191,F3
7002,Unscrambled,Different,Object,1.435863573466,F3
7002,Unscrambled,Same,Color,0.315221416204536,F3
7002,Unscrambled,Same,Object,1.08535561377793,F3
7002,Scrambled,Different,Color,0.370469001747295,FC1
7002,Scrambled,Different,Object,1.58606967654996,FC1
7002,Scrambled,Same,Color,0.235802836401749,FC1
7002,Scrambled,Same,Object,0.386776322658214,FC1
7002,Unscrambled,Different,Color,0.423670734246191,FC1
7002,Unscrambled,Different,Object,1.435863573466,FC1
7002,Unscrambled,Same,Color,0.315221416204536,FC1
7002,Unscrambled,Same,Object,1.08535561377793,FC1
7002,Scrambled,Different,Color,0.370469001747295,FC5
7002,Scrambled,Different,Object,1.58606967654996,FC5
7002,Scrambled,Same,Color,0.235802836401749,FC5
7002,Scrambled,Same,Object,0.386776322658214,FC5
7002,Unscrambled,Different,Color,0.423670734246191,FC5
7002,Unscrambled,Different,Object,1.435863573466,FC5
7002,Unscrambled,Same,Color,0.315221416204536,FC5
7002,Unscrambled,Same,Object,1.08535561377793,FC5
7002,Scrambled,Different,Color,0.370469001747295,T7
7002,Scrambled,Different,Object,1.58606967654996,T7
7002,Scrambled,Same,Color,0.235802836401749,T7
7002,Scrambled,Same,Object,0.386776322658214,T7
7002,Unscrambled,Different,Color,0.423670734246191,T7
7002,Unscrambled,Different,Object,1.435863573466,T7
7002,Unscrambled,Same,Color,0.315221416204536,T7
7002,Unscrambled,Same,Object,1.08535561377793,T7
7002,Scrambled,Different,Color,0.370469001747295,C3
7002,Scrambled,Different,Object,1.58606967654996,C3
7002,Scrambled,Same,Color,0.235802836401749,C3
7002,Scrambled,Same,Object,0.386776322658214,C3
7002,Unscrambled,Different,Color,0.423670734246191,C3
7002,Unscrambled,Different,Object,1.435863573466,C3
7002,Unscrambled,Same,Color,0.315221416204536,C3
7002,Unscrambled,Same,Object,1.08535561377793,C3
7002,Scrambled,Different,Color,0.370469001747295,CP1
7002,Scrambled,Different,Object,1.58606967654996,CP1
7002,Scrambled,Same,Color,0.235802836401749,CP1
7002,Scrambled,Same,Object,0.386776322658214,CP1
7002,Unscrambled,Different,Color,0.423670734246191,CP1
7002,Unscrambled,Different,Object,1.435863573466,CP1
7002,Unscrambled,Same,Color,0.315221416204536,CP1
7002,Unscrambled,Same,Object,1.08535561377793,CP1
7002,Scrambled,Different,Color,0.370469001747295,CP5
7002,Scrambled,Different,Object,1.58606967654996,CP5
7002,Scrambled,Same,Color,0.235802836401749,CP5
7002,Scrambled,Same,Object,0.386776322658214,CP5
7002,Unscrambled,Different,Color,0.423670734246191,CP5
7002,Unscrambled,Different,Object,1.435863573466,CP5
7002,Unscrambled,Same,Color,0.315221416204536,CP5
7002,Unscrambled,Same,Object,1.08535561377793,CP5
7002,Scrambled,Different,Color,0.370469001747295,P7
7002,Scrambled,Different,Object,1.58606967654996,P7
7002,Scrambled,Same,Color,0.235802836401749,P7
7002,Scrambled,Same,Object,0.386776322658214,P7
7002,Unscrambled,Different,Color,0.423670734246191,P7
7002,Unscrambled,Different,Object,1.435863573466,P7
