S,Masker,Talker,WordType,Amplitude,Electrode
7056,Scrambled,Different,Color,-4.17603368304234,Fp1
7056,Scrambled,Different,Object,-0.911819350285221,Fp1
7056,Scrambled,Same,Color,-3.83066463483755,Fp1
7056,Scrambled,Same,Object,-1.67143728609137,Fp1
7056,Unscrambled,Different,Color,-1.34556980617463,Fp1
7056,Unscrambled,Different,Object,0.332543131357174,Fp1
7056,Unscrambled,Same,Color,-1.05265160245081,Fp1
7056,Unscrambled,Same,Object,-0.941929248760365,Fp1
7056,Scrambled,Different,Color,-4.17603368304234,AF3
7056,Scrambled,Different,Object,-0.911819350285221,AF3
7056,Scrambled,Same,Color,-3.83066463483755,AF3
7056,Scrambled,Same,Object,-1.67143728609137,AF3
7056,Unscrambled,Different,Color,-1.34556980617463,AF3
7056,Unscrambled,Different,Object,0.332543131357174,AF3
7056,Unscrambled,Same,Color,-1.05265160245081,AF3
7056,Unscrambled,Same,Object,-0.941929248760365,AF3
7056,Scrambled,Different,Color,-4.17603368304234,F7
7056,Scrambled,Different,Object,-0.911819350285221,F7
7056,Scrambled,Same,Color,-3.83066463483755,F7
7056,Scrambled,Same,Object,-1.67143728609137,F7
7056,Unscrambled,Different,Color,-1.34556980617463,F7
7056,Unscrambled,Different,Object,0.332543131357174,F7
7056,Unscrambled,Same,Color,-1.05265160245081,F7
7056,Unscrambled,Same,Object,-0.941929248760365,F7
7056,Scrambled,Different,Color,-4.17603368304234,F3
7056,Scrambled,Different,Object,-0.911819350285221,F3
7056,Scrambled,Same,Color,-3.83066463483755,F3
7056,Scrambled,Same,Object,-1.67143728609137,F3
7056,Unscrambled,Different,Color,-1.34556980617463,F3
7056,Unscrambled,Different,Object,0.332543131357174,F3
7056,Unscrambled,Same,Color,-1.05265160245081,F3
7056,Unscrambled,Same,Object,-0.941929248760365,F3
7056,Scrambled,Different,Color,-4.17603368304234,FC1
7056,Scrambled,Different,Object,-0.911819350285221,FC1
7056,Scrambled,Same,Color,-3.83066463483755,FC1
7056,Scrambled,Same,Object,-1.67143728609137,FC1
7056,Unscrambled,Different,Color,-1.34556980617463,FC1
7056,Unscrambled,Different,Object,0.332543131357174,FC1
