S,Masker,Talker,WordType,Amplitude,Electrode
7056,Scrambled,Different,Color,-0.073844379803578,Fp1
7056,Scrambled,Different,Object,0.230794740475241,Fp1
7056,Scrambled,Same,Color,1.04501818826242,Fp1
7056,Scrambled,Same,Object,0.276132851870492,Fp1
7056,Unscrambled,Different,Color,-0.405881274026338,Fp1
7056,Unscrambled,Different,Object,0.259163872181554,Fp1
7056,Unscrambled,Same,Color,1.36377010996138,Fp1
7056,Unscrambled,Same,Object,0.328828345648432,Fp1
7056,Scrambled,Different,Color,-0.073844379803578,AF3
7056,Scrambled,Different,Object,0.230794740475241,AF3
7056,Scrambled,Same,Color,1.04501818826242,AF3
7056,Scrambled,Same,Object,0.276132851870492,AF3
7056,Unscrambled,Different,Color,-0.405881274026338,AF3
7056,Unscrambled,Different,Object,0.259163872181554,AF3
7056,Unscrambled,Same,Color,1.36377010996138,AF3
7056,Unscrambled,Same,Object,0.328828345648432,AF3
7056,Scrambled,Different,Color,-0.073844379803578,F7
7056,Scrambled,Different,Object,0.230794740475241,F7
7056,Scrambled,Same,Color,1.04501818826242,F7
7056,Scrambled,Same,Object,0.276132851870492,F7
7056,Unscrambled,Different,Color,-0.405881274026338,F7
7056,Unscrambled,Different,Object,0.259163872181554,F7
7056,Unscrambled,Same,Color,1.36377010996138,F7
7056,Unscrambled,Same,Object,0.328828345648432,F7
7056,Scrambled,Different,Color,-0.073844379803578,F3
7056,Scrambled,Different,Object,0.230794740475241,F3
7056,Scrambled,Same,Color,1.04501818826242,F3
7056,Scrambled,Same,Object,0.276132851870492,F3
7056,Unscrambled,Different,Color,-0.405881274026338,F3
7056,Unscrambled,Different,Object,0.259163872181554,F3
7056,Unscrambled,Same,Color,1.36377010996138,F3
7056,Unscrambled,Same,Object,0.328828345648432,F3
7056,Scrambled,Different,Color,-0.073844379803578,FC1
7056,Scrambled,Different,Object,0.230794740475241,FC1
7056,Scrambled,Same,Color,1.04501818826242,FC1
7056,Scrambled,Same,Object,0.276132851870492,FC1
7056,Unscrambled,Different,Color,-0.405881274026338,FC1
7056,Unscrambled,Different,Object,0.259163872181554,FC1
7056,Unscrambled,Same,Color,1.36377010996138,FC1
7056,Unscrambled,Same,Object,0.328828345648432,FC1
7056,Scrambled,Different,Color,-0.073844379803578,FC5
7056,Scrambled,Different,Object,0.230794740475241,FC5
7056,Scrambled,Same,Color,1.04501818826242,FC5
7056,Scrambled,Same,Object,0.276132851870492,FC5
7056,Unscrambled,Different,Color,-0.405881274026338,FC5
7056,Unscrambled,Different,Object,0.259163872181554,FC5
7056,Unscrambled,Same,Color,1.36377010996138,FC5
7056,Unscrambled,Same,Object,0.328828345648432,FC5
7056,Scrambled,Different,Color,-0.073844379803578,T7
7056,Scrambled,Different,Object,0.230794740475241,T7
7056,Scrambled,Same,Color,1.04501818826242,T7
7056,Scrambled,Same,Object,0.276132851870492,T7
7056,Unscrambled,Different,Color,-0.405881274026338,T7
7056,Unscrambled,Different,Object,0.259163872181554,T7
7056,Unscrambled,Same,Color,1.36377010996138,T7
7056,Unscrambled,Same,Object,0.328828345648432,T7
7056,Scrambled,Different,Color,-0.073844379803578,C3
7056,Scrambled,Different,Object,0.230794740475241,C3
7056,Scrambled,Same,Color,1.04501818826242,C3
7056,Scrambled,Same,Object,0.276132851870492,C3
7056,Unscrambled,Different,Color,-0.405881274026338,C3
7056,Unscrambled,Different,Object,0.259163872181554,C3
7056,Unscrambled,Same,Color,1.36377010996138,C3
7056,Unscrambled,Same,Object,0.328828345648432,C3
7056,Scrambled,Different,Color,-0.073844379803578,CP1
7056,Scrambled,Different,Object,0.230794740475241,CP1
7056,Scrambled,Same,Color,1.04501818826242,CP1
7056,Scrambled,Same,Object,0.276132851870492,CP1
7056,Unscrambled,Different,Color,-0.405881274026338,CP1
7056,Unscrambled,Different,Object,0.259163872181554,CP1
7056,Unscrambled,Same,Color,1.36377010996138,CP1
7056,Unscrambled,Same,Object,0.328828345648432,CP1
7056,Scrambled,Different,Color,-0.073844379803578,CP5
7056,Scrambled,Different,Object,0.230794740475241,CP5
7056,Scrambled,Same,Color,1.04501818826242,CP5
7056,Scrambled,Same,Object,0.276132851870492,CP5
7056,Unscrambled,Different,Color,-0.405881274026338,CP5
7056,Unscrambled,Different,Object,0.259163872181554,CP5
7056,Unscrambled,Same,Color,1.36377010996138,CP5
7056,Unscrambled,Same,Object,0.328828345648432,CP5
7056,Scrambled,Different,Color,-0.073844379803578,P7
7056,Scrambled,Different,Object,0.230794740475241,P7
7056,Scrambled,Same,Color,1.04501818826242,P7
7056,Scrambled,Same,Object,0.276132851870492,P7
7056,Unscrambled,Different,Color,-0.405881274026338,P7
7056,Unscrambled,Different,Object,0.259163872181554,P7
7056,Unscrambled,Same,Color,1.36377010996138,P7
7056,Unscrambled,Same,Object,0.328828345648432,P7
7056,Scrambled,Different,Color,-0.073844379803578,P3
7056,Scrambled,Different,Object,0.230794740475241,P3
7056,Scrambled,Same,Color,1.04501818826242,P3
7056,Scrambled,Same,Object,0.276132851870492,P3
7056,Unscrambled,Different,Color,-0.405881274026338,P3
7056,Unscrambled,Different,Object,0.259163872181554,P3
7056,Unscrambled,Same,Color,1.36377010996138,P3
7056,Unscrambled,Same,Object,0.328828345648432,P3
7056,Scrambled,Different,Color,-0.073844379803578,Pz
7056,Scrambled,Different,Object,0.230794740475241,Pz
7056,Scrambled,Same,Color,1.04501818826242,Pz
7056,Scrambled,Same,Object,0.276132851870492,Pz
7056,Unscrambled,Different,Color,-0.405881274026338,Pz
7056,Unscrambled,Different,Object,0.259163872181554,Pz
7056,Unscrambled,Same,Color,1.36377010996138,Pz
7056,Unscrambled,Same,Object,0.328828345648432,Pz
7056,Scrambled,Different,Color,-0.073844379803578,PO3
7056,Scrambled,Different,Object,0.230794740475241,PO3
7056,Scrambled,Same,Color,1.04501818826242,PO3
