S,Masker,Talker,WordType,Amplitude,Electrode
7002,Scrambled,Different,Color,0.983438894285646,Fp1
7002,Scrambled,Different,Object,0.639556479486165,Fp1
7002,Scrambled,Same,Color,0.0286672086986717,Fp1
7002,Scrambled,Same,Object,1.8010917087907,Fp1
7002,Unscrambled,Different,Color,1.1176150350659,Fp1
7002,Unscrambled,Different,Object,1.37207870144173,Fp1
7002,Unscrambled,Same,Color,0.776843765278837,Fp1
7002,Unscrambled,Same,Object,0.267854716578728,Fp1
7002,Scrambled,Different,Color,0.983438894285646,AF3
7002,Scrambled,Different,Object,0.639556479486165,AF3
7002,Scrambled,Same,Color,0.0286672086986717,AF3
7002,Scrambled,Same,Object,1.8010917087907,AF3
7002,Unscrambled,Different,Color,1.1176150350659,AF3
7002,Unscrambled,Different,Object,1.37207870144173,AF3
7002,Unscrambled,Same,Color,0.776843765278837,AF3
7002,Unscrambled,Same,Object,0.267854716578728,AF3
7002,Scrambled,Different,Color,0.983438894285646,F7
7002,Scrambled,Different,Object,0.639556479486165,F7
7002,Scrambled,Same,Color,0.0286672086986717,F7
7002,Scrambled,Same,Object,1.8010917087907,F7
7002,Unscrambled,Different,Color,1.1176150350659,F7
7002,Unscrambled,Different,Object,1.37207870144173,F7
7002,Unscrambled,Same,Color,0.776843765278837,F7
7002,Unscrambled,Same,Object,0.267854716578728,F7
7002,Scrambled,Different,Color,0.983438894285646,F3
7002,Scrambled,Different,Object,0.639556479486165,F3
7002,Scrambled,Same,Color,0.0286672086986717,F3
7002,Scrambled,Same,Object,1.8010917087907,F3
7002,Unscrambled,Different,Color,1.1176150350659,F3
7002,Unscrambled,Different,Object,1.37207870144173,F3
7002,Unscrambled,Same,Color,0.776843765278837,F3
7002,Unscrambled,Same,Object,0.267854716578728,F3
7002,Scrambled,Different,Color,0.983438894285646,FC1
7002,Scrambled,Different,Object,0.639556479486165,FC1
7002,Scrambled,Same,Color,0.0286672086986717,FC1
7002,Scrambled,Same,Object,1.8010917087907,FC1
7002,Unscrambled,Different,Color,1.1176150350659,FC1
7002,Unscrambled,Different,Object,1.37207870144173,FC1
7002,Unscrambled,Same,Color,0.776843765278837,FC1
7002,Unscrambled,Same,Object,0.267854716578728,FC1
7002,Scrambled,Different,Color,0.983438894285646,FC5
7002,Scrambled,Different,Object,0.639556479486165,FC5
7002,Scrambled,Same,Color,0.0286672086986717,FC5
7002,Scrambled,Same,Object,1.8010917087907,FC5
7002,Unscrambled,Different,Color,1.1176150350659,FC5
7002,Unscrambled,Different,Object,1.37207870144173,FC5
