S,Masker,Talker,WordType,Amplitude
7056,Scrambled,Different,Color,1.45938910960659
7056,Scrambled,Different,Object,-1.200441665413
7056,Scrambled,Same,Color,2.24993681706965
7056,Scrambled,Same,Object,-0.711869568800685
7056,Unscrambled,Different,Color,0.325340485910057
7056,Unscrambled,Different,Object,-1.21599909970555
7056,Unscrambled,Same,Color,1.02036025492466
7056,Unscrambled,Same,Object,-0.841223286148319
7057,Scrambled,Different,Color,0.691315154017104
7057,Scrambled,Different,Object,0.427921854498724
7057,Scrambled,Same,Color,1.16515477557007
7057,Scrambled,Same,Object,0.670253955740379
7057,Unscrambled,Different,Color,0.566208382139784
7057,Unscrambled,Different,Object,-0.436591557880126
7057,Unscrambled,Same,Color,0.930298474756418
7057,Unscrambled,Same,Object,-0.444387901268237
7058,Scrambled,Different,Color,1.62351297212251
7058,Scrambled,Different,Object,-0.666204787084228
7058,Scrambled,Same,Color,1.72705159063561
7058,Scrambled,Same,Object,-1.17208098070737
7058,Unscrambled,Different,Color,0.299999483097577
7058,Unscrambled,Different,Object,-0.278412623033851
7058,Unscrambled,Same,Color,1.36871606132975
7058,Unscrambled,Same,Object,-1.13540747482386
7059,Scrambled,Different,Color,0.949744620997746
7059,Scrambled,Different,Object,-1.14200843561598
7059,Scrambled,Same,Color,0.705938632141937
7059,Scrambled,Same,Object,-0.106640368812664
7059,Unscrambled,Different,Color,-0.190201547080195
7059,Unscrambled,Different,Object,-0.098859425671446
7059,Unscrambled,Same,Color,0.377004675103255
7059,Unscrambled,Same,Object,-0.607684073770423
7060,Scrambled,Different,Color,0.731824320585874
7060,Scrambled,Different,Object,-0.197017047570724
7060,Scrambled,Same,Color,1.08973296475424
7060,Scrambled,Same,Object,-0.534707980180028
7060,Unscrambled,Different,Color,1.43339626188023
7060,Unscrambled,Different,Object,-0.115785597611541
7060,Unscrambled,Same,Color,0.582757331207005
7060,Unscrambled,Same,Object,-0.22512131458565
7065,Scrambled,Different,Color,0.314699021288832
7065,Scrambled,Different,Object,-0.0795244054064783
7065,Scrambled,Same,Color,0.743568631406303
7065,Scrambled,Same,Object,0.187571169030273
7065,Unscrambled,Different,Color,0.517627260361864
7065,Unscrambled,Different,Object,-0.19417928526535
7065,Unscrambled,Same,Color,1.24665212136114
7065,Unscrambled,Same,Object,0.340518568414746
7066,Scrambled,Different,Color,1.61727480206402
7066,Scrambled,Different,Object,-0.265092140787097
7066,Scrambled,Same,Color,1.93816849380198
7066,Scrambled,Same,Object,-0.762797833765874
7066,Unscrambled,Different,Color,0.916456534771884
7066,Unscrambled,Different,Object,0.00708231214233791
7066,Unscrambled,Same,Color,0.462760344045352
7066,Unscrambled,Same,Object,-0.151362898155189
7067,Scrambled,Different,Color,5.85981973104068
7067,Scrambled,Different,Object,1.75032511782435
7067,Scrambled,Same,Color,5.00942297614183
7067,Scrambled,Same,Object,1.286588665549
7067,Unscrambled,Different,Color,2.40456771574919
7067,Unscrambled,Different,Object,0.857806749455511
7067,Unscrambled,Same,Color,1.96018369684594
7067,Unscrambled,Same,Object,1.37631522568206
7068,Scrambled,Different,Color,-0.00877493210525424
7068,Scrambled,Different,Object,-0.308996370186837
7068,Scrambled,Same,Color,1.52138768620025
7068,Scrambled,Same,Object,1.09367569981299
7068,Unscrambled,Different,Color,2.19256932999159
7068,Unscrambled,Different,Object,0.718475752356778
7068,Unscrambled,Same,Color,1.07470357884483
7068,Unscrambled,Same,Object,-1.16273187045108
7069,Scrambled,Different,Color,2.04506068417489
7069,Scrambled,Different,Object,-0.192027388680461
7069,Scrambled,Same,Color,2.78740595788462
7069,Scrambled,Same,Object,1.54163818480139
7069,Unscrambled,Different,Color,2.70566988455622
7069,Unscrambled,Different,Object,0.862210062832388
7069,Unscrambled,Same,Color,1.79817611807767
7069,Unscrambled,Same,Object,0.0630546674680658
7070,Scrambled,Different,Color,1.38321759906233
7070,Scrambled,Different,Object,0.479979631477503
7070,Scrambled,Same,Color,1.20615763355591
7070,Scrambled,Same,Object,0.402862463463021
7070,Unscrambled,Different,Color,1.03192984596415
7070,Unscrambled,Different,Object,-0.404212293874371
7070,Unscrambled,Same,Color,0.577277974037156
7070,Unscrambled,Same,Object,0.117942422021632
7071,Scrambled,Different,Color,0.577085495847937
7071,Scrambled,Different,Object,-0.854340726501569
7071,Scrambled,Same,Color,0.229888331538099
7071,Scrambled,Same,Object,-0.636398152984266
7071,Unscrambled,Different,Color,0.431117241954472
7071,Unscrambled,Different,Object,-2.11128856062527
7071,Unscrambled,Same,Color,0.676114616403443
7071,Unscrambled,Same,Object,-0.971027205026281
7072,Scrambled,Different,Color,2.41001063945543
7072,Scrambled,Different,Object,0.675905629186145
7072,Scrambled,Same,Color,1.2766830347724
7072,Scrambled,Same,Object,-0.302073121259481
7072,Unscrambled,Different,Color,1.15215220211337
7072,Unscrambled,Different,Object,-0.572056298736588
7072,Unscrambled,Same,Color,1.22374316519984
7072,Unscrambled,Same,Object,-0.384897831919094
7073,Scrambled,Different,Color,1.7223890617411
7073,Scrambled,Different,Object,0.621870690789396
7073,Scrambled,Same,Color,1.4767149051773
7073,Scrambled,Same,Object,0.247836658072056
7073,Unscrambled,Different,Color,1.75434547772538
7073,Unscrambled,Different,Object,-0.354096218629107
7073,Unscrambled,Same,Color,1.18733938943339
7073,Unscrambled,Same,Object,-0.716037812186077
7076,Scrambled,Different,Color,1.95345797239595
7076,Scrambled,Different,Object,0.283180433527102
7076,Scrambled,Same,Color,2.06352109018935
7076,Scrambled,Same,Object,0.424575112702797
7076,Unscrambled,Different,Color,2.02069841960366
7076,Unscrambled,Different,Object,0.0859766657530057
7076,Unscrambled,Same,Color,2.13031813636353
7076,Unscrambled,Same,Object,0.281939381736525
7077,Scrambled,Different,Color,0.492436400723932
7077,Scrambled,Different,Object,-1.00195915156442
7077,Scrambled,Same,Color,-0.163786876191583
7077,Scrambled,Same,Object,-0.822409531133757
7077,Unscrambled,Different,Color,0.93563889336892
7077,Unscrambled,Different,Object,-0.592415507229331
7077,Unscrambled,Same,Color,0.897346329003061
7077,Unscrambled,Same,Object,-0.493027472828375
7078,Scrambled,Different,Color,-0.0285388244974877
7078,Scrambled,Different,Object,-1.88975586752256
7078,Scrambled,Same,Color,0.782178015298698
7078,Scrambled,Same,Object,1.12159578855646
7078,Unscrambled,Different,Color,1.5127786078435
7078,Unscrambled,Different,Object,0.029970184025416
7078,Unscrambled,Same,Color,-0.0400957790339894
7078,Unscrambled,Same,Object,-1.05099365568025
7079,Scrambled,Different,Color,1.03574724415609
7079,Scrambled,Different,Object,0.703227922628023
7079,Scrambled,Same,Color,0.870599655537612
7079,Scrambled,Same,Object,0.485101123840238
7079,Unscrambled,Different,Color,1.20728456244016
7079,Unscrambled,Different,Object,0.239648855668741
7079,Unscrambled,Same,Color,1.16173027141927
7079,Unscrambled,Same,Object,-0.500227565808745
7080,Scrambled,Different,Color,0.161532851437902
7080,Scrambled,Different,Object,-0.0429636519321488
7080,Scrambled,Same,Color,0.622660311891752
7080,Scrambled,Same,Object,-0.548749173120391
7080,Unscrambled,Different,Color,1.50834692012776
7080,Unscrambled,Different,Object,0.441998371831302
7080,Unscrambled,Same,Color,0.162036106193233
7080,Unscrambled,Same,Object,0.81079744158162
7082,Scrambled,Different,Color,1.9667415069068
7082,Scrambled,Different,Object,0.543842129401801
7082,Scrambled,Same,Color,1.74227690131405
7082,Scrambled,Same,Object,-0.309298635875968
7082,Unscrambled,Different,Color,1.70266739295886
7082,Unscrambled,Different,Object,0.423853125168299
7082,Unscrambled,Same,Color,1.81368269065666
7082,Unscrambled,Same,Object,-0.0322001644338285
